the_geom,web,nom,adreca,contacte1,contacte2,cartodb_id,correu,lat,lng,categoria,cel1,cel2
0101000020E61000003FC7478B3386E73F9B1DA9BEF35B4440,www.nicanor.cat,Nicanor,"C/ Major, 22",977480062,,1,info@nicanor.cat,40.718376,0.735132,(cel) ARROSSERIES I CUINA TRADICIONAL,MENÚ PER CELÍACS,
0101000020E6100000C7A17E17B666E63F471FF301815C4440,,Restaurant Castro,"C/ Riu Segre, 13",616051905,628057622,2,restaurantcastro@gmail.com,40.722687,0.700038,ARROSSERIES I CUINA TRADICIONAL,,
0101000020E61000005E49F25CDF87E93F772B4B7496614440,,Vascos,Ctra. De la Marquesa,977267171,,3,arantxaguillen@hotmail.com,40.762404,0.797836,ARROSSERIES I CUINA TRADICIONAL,,
0101000020E61000000FF10F5B7AB4EA3F99B7EA3A545B4440,www.restaurantnuri.com,Casa Nuri,Embarcador Illa de Buda,977480128,977267672,4,restaurantnuri@live.com,40.713508,0.834531,(cel) ARROSSERIES I CUINA TRADICIONAL,MENÚ PER CELÍACS,
0101000020E61000007F4B00FE29D5EA3FC6DFF604895B4440,www.creuersdeltaebre.com,Vaixell Restaurant Santa Susana,Ctra. Desembocadura,977480128,629534757,5,info@creuersdeltaebre.com,40.715119,0.838521,(cel) ARROSSERIES I CUINA TRADICIONAL,MENÚ PER CELÍACS,Cal dir-ho al reservar
0101000020E61000003E3C4B9011D0E73F857B65DEAA5B4440,,El Faro,"Av. Goles de l'Ebre, 357",977480229,622212758,6,,40.716152,0.744149,ARROSSERIES I CUINA TRADICIONAL,,
0101000020E6100000E6965643E21EEB3FE277D32D3B5C4440,,Galatxo,"Camí del Camping, 22",977267503,669578518,7,yolandamocor@gmail.com,40.720556,0.84752,ARROSSERIES I CUINA TRADICIONAL,,
0101000020E6100000CBF5B6990AF1EA3FA5DC7D8E8F5C4440,www.pacabhr.net,Paca,"C/ Flamenc, 9",977267394,977267394,8,paca@pacabhr.net,40.723131,0.841924,(cel) ARROSSERIES I CUINA TRADICIONAL,MENÚ PER CELÍACS,
0101000020E6100000B3D30FEA2285E73F3048FAB48A5C4440,,Can Casanova,"Ctra. Del Canal, s/n",977481194,699932390,9,restaurantcasanova@hotmail.es,40.722983,0.735002,ARROSSERIES I CUINA TRADICIONAL,,
0101000020E6100000B1C05774EBB5EA3F791F4773645D4440,www.restaurantvistamar.com,Vista Mar,Passeig Marítim,97726723,626042425,10,restaurantvistamar@hotmail.com,40.729628,0.834707,(cel) ARROSSERIES I CUINA TRADICIONAL,MENÚ PER CELÍACS,
0101000020E6100000F67D384888F2E83F4AD3A0681E604440,,Figueres,Ctra. De la Marquesa,977267397,638757300,11,,40.750928,0.779606,(cel) ARROSSERIES I CUINA TRADICIONAL,MENÚ PER CELÍACS,
0101000020E6100000562DE9280733EB3F4F965AEF375C4440,www.campinglaube.com,L'Aube,"Camí del Camping, 1",977267066,,12,campinglaube@campinglaube.com,40.720457,0.849979,(cel) ARROSSERIES I CUINA TRADICIONAL,MENÚ PER CELÍACS,
0101000020E610000003B68311FB84EA3F904DF2237E5B4440,www.lagaya.es,Bufet Lliure la Gaya,"Ctra. De Riumar, s/n",616559906,689111888,13,info@edic2005.com,40.714787,0.828733,BUFET LLIURE,MENÚ PER CELÍACS,
0101000020E6100000DE7536E49F99EA3FEE7A698A005D4440,,Barbacoa Rafael,"C/ Àliga Pescatera, s/n.",977267641,977481072,14,miguelnavarrocasanova@gmail.com,40.726579,0.831253,(cel) ARROSSERIES I CUINA TRADICIONAL,MENÚ PER CELÍACS,
0101000020E61000008B4F01309EC1EA3F5BD2510E665B4440,www.tramontano.cat,Tramontano,Ctra. Desembocadura,977267190,,15,david@tramontano.cat,40.714052,0.836135,(cel) ARROSSERIES I CUINA TRADICIONAL,MENÚ PER CELÍACS,Pa per encàrrec
0101000020E6100000ACC77DAB75E2E73FC2C2499A3F5C4440,www.deltahotel.net,Delta Hotel,"Av. Del canal, camí de l'illeta, s/n.",977480046,,16,informacio@deltahotel.net,40.720691,0.746394,(cel) ARROSSERIES I CUINA TRADICIONAL,MENÚ PER CELÍACS,
0101000020E6100000C2A38D23D662E73F9A982EC4EA5B4440,,Gràcia,"Av. Robert Graupera, 9",977480983,,17,judithgracia@hotmail.es,40.718102,0.730815,(cel) ARROSSERIES I CUINA TRADICIONAL,MENÚ PER CELÍACS,
0101000020E6100000A3772AE09EE7E53F4AB4E4F1B45C4440,,Casa Rius,"C/ Reis Catòlics, núm. 6",977489960,649424696,18,restaurantcasarius@gmail.com,40.724272,0.684524,ARROSSERIES I CUINA TRADICIONAL,,
0101000020E61000003D98141F9F90E73F8A0453CDAC5B4440,,Can Cris,"Ptge segura, 8",676033338,,19,,40.716211,0.736404,ARROSSERIES I CUINA TRADICIONAL,,
0101000020E6100000A777F17EDC7EE73F357EE195245B4440,,Lo Transbordador,"C/ Unió, 165",625100707,625100709,20,crucerosolmos@hotmail.com,40.712054,0.734236,(cel) ARROSSERIES I CUINA TRADICIONAL,MENÚ PER CELÍACS,
0101000020E610000061DF4E22C23FE73FDC4603780B5C4440,www.hotelrull.com,Garxal,"Av. Esportiva,155",977487728,,21,hotellrull@turisrull.es,40.7191,0.726533,(cel) ARROSSERIES I CUINA TRADICIONAL,MENÚ PER CELÍACS,
0101000020E6100000F697DD938705E73F8D96033DD45C4440,,Els Arcs,Pol. Industrial Les Molines,977483624,630079630,22,eurocatdelta@hotmail.com,40.725227,0.719425,(cel) ARROSSERIES I CUINA TRADICIONAL,MENÚ PER CELÍACS,
0101000020E61000007041B62C5F17EA3FA6B8AAECBB5A4440, www.parcdeltaventur.com,La Granota-Parc Deltaventur,"Ctra. De Riumar, km 17200",977059867,977481030,23,info@parcdeltaventur.com,40.70886,0.815353,ARROSSERIES I CUINA TRADICIONAL,,
0101000020E6100000E78A5242B0AAEA3F8BFED0CC935B4440,,L’Era del Delta,"Ctra. Venta Nova - Far de Buda, km 8",977267426,609316362,24,,40.715448,0.833336,(cel) ARROSSERIES I CUINA TRADICIONAL,MENÚ PER CELÍACS,
0101000020E61000003E7AC37DE4D6E63F22DE3AFF765D4440,www.masdeprades.cat,Mas de Prades,Ctra. T340 km 8,97705908,681227718,25,hotel@masdeprades.cat,40.730194,0.713732,(cel) ARROSSERIES I CUINA TRADICIONAL,MENÚ PER CELÍACS,
0101000020E6100000C381902C6082EA3F755B22179C5B4440,www.creuers-delta-ebre.com,Mas de Nuri,"Ctra. Riumar, s/n",660954248,,26,lomasdenuri@hotmail.com,40.715701,0.828415,ARROSSERIES I CUINA TRADICIONAL,,
0101000020E61000006729594E42E9EA3F336E6AA0F95C4440,,Les Dunes Restaurant,C/ Coll Verd-Riumar,639029741,,27,lesdunesrestaurant@hotmai.com,40.726368,0.840974,(cel) ARROSSERIES I CUINA TRADICIONAL,MENÚ PER CELÍACS,Reserva prèvia
0101000020E6100000A8AAD0402C1BE73FA52F849CF75B4440,,Graupera,"Av. Robert Graupera, 135",977487663,,28,elviro58@hotmail.com,40.718494,0.722067,ARROSSERIES I CUINA TRADICIONAL,,
0101000020E6100000857CD0B359F5EA3F294014CC985C4440,,Lo Petit Bosc,"C/ Flamenc, 1",899990505,,29,lopetitbosc@gmail.com,40.723413,0.84245,ARROSSERIES I CUINA TRADICIONAL,,
